166384,BTG Pactual Global Asset Management Ltd,13F-HR,1567992,2014-11-12,https://www.sec.gov/Archives/edgar/data/1567992/0001085146-14-002174-index.htm
178753,AMERICAN FINANCIAL GROUP INC,10-K,1042046,2015-02-26,https://www.sec.gov/Archives/edgar/data/1042046/0001042046-15-000015-index.htm
178756,AMERICAN FINANCIAL GROUP INC 401(K) RETIREMENT & SAVINGS PLA,13F-HR,943719,2015-02-10,https://www.sec.gov/Archives/edgar/data/943719/0001042046-15-000004-index.htm
178758,AMERICAN GENE ENGINEER CORP,10-Q,1600784,2015-03-24,https://www.sec.gov/Archives/edgar/data/1600784/0001214659-15-002490-index.htm
178760,AMERICAN GENE ENGINEER CORP,NT 10-K,1600784,2015-01-29,https://www.sec.gov/Archives/edgar/data/1600784/0001214659-15-000674-index.htm
178762,AMERICAN GRAPHITE TECHNOLOGIES INC.,10-K/A,1497316,2015-02-23,https://www.sec.gov/Archives/edgar/data/1497316/0001594062-15-000064-index.htm
178764,AMERICAN GRAPHITE TECHNOLOGIES INC.,10-Q/A,1497316,2015-02-23,https://www.sec.gov/Archives/edgar/data/1497316/0001594062-15-000065-index.htm
178766,AMERICAN GREETINGS CORP,10-Q,5133,2015-01-09,https://www.sec.gov/Archives/edgar/data/5133/0001193125-15-006237-index.htm
178768,AMERICAN HONDA FINANCE CORP,10-Q,864270,2015-02-12,https://www.sec.gov/Archives/edgar/data/864270/0001564590-15-000636-index.htm
187411,NATURAL HEALTH TRENDS CORP,10-K,912061,2015-03-06,https://www.sec.gov/Archives/edgar/data/912061/0001437749-15-004253-index.htm
190207,SMITH MIDLAND CORP,10-K,924719,2015-03-31,https://www.sec.gov/Archives/edgar/data/924719/0000924719-15-000005-index.htm
190216,"SMTP, Inc.",10-K,1506439,2015-03-31,https://www.sec.gov/Archives/edgar/data/1506439/0001553350-15-000312-index.htm
190219,SNOW CAPITAL MANAGEMENT LP,13F-HR,1262124,2015-02-12,https://www.sec.gov/Archives/edgar/data/1262124/0001262124-15-000002-index.htm
190224,"SOCKET MOBILE, INC.",10-K,944075,2015-03-27,https://www.sec.gov/Archives/edgar/data/944075/0000944075-15-000014-index.htm
190227,SOL Capital Management CO,13F-HR,1339270,2015-01-29,https://www.sec.gov/Archives/edgar/data/1339270/0001339270-15-000001-index.htm
190230,SOLARCITY CORP,10-K,1408356,2015-02-24,https://www.sec.gov/Archives/edgar/data/1408356/0001564590-15-000897-index.htm
190235,SOLAZYME INC,NT 10-K,1311230,2015-03-02,https://www.sec.gov/Archives/edgar/data/1311230/0001193125-15-073696-index.htm
190238,SOLITARIO EXPLORATION & ROYALTY CORP.,10-K,917225,2015-03-30,https://www.sec.gov/Archives/edgar/data/917225/0000917225-15-000003-index.htm
190241,SOLITRON DEVICES INC,NT 10-Q,91668,2015-01-15,https://www.sec.gov/Archives/edgar/data/91668/0001213900-15-000325-index.htm
190243,SONATA CAPITAL GROUP INC,13F-HR,1172036,2015-02-12,https://www.sec.gov/Archives/edgar/data/1172036/0001172036-15-000003-index.htm
190248,SONIC FOUNDRY INC,DEF 14A,1029744,2015-01-27,https://www.sec.gov/Archives/edgar/data/1029744/0001193125-15-021801-index.htm
190251,SONOCO PRODUCTS CO,DEF 14A,91767,2015-03-13,https://www.sec.gov/Archives/edgar/data/91767/0001193125-15-090403-index.htm
190254,SOPHROSYNE CAPITAL LLC,13F-HR,1507758,2015-01-26,https://www.sec.gov/Archives/edgar/data/1507758/0001420506-15-000017-index.htm
235750,VGI PARTNERS PTY Ltd,13F-HR,1577774,2015-11-13,https://www.sec.gov/Archives/edgar/data/1577774/0001062993-15-006098-index.htm
244053,KRONOS WORLDWIDE INC,DEF 14A,1257640,2016-03-29,https://www.sec.gov/Archives/edgar/data/1257640/0000059255-16-000161-index.htm
244054,KS MANAGEMENT CORP,13F-HR,1349834,2016-02-16,https://www.sec.gov/Archives/edgar/data/1349834/0001387131-16-004258-index.htm
244055,"KSA CAPITAL MANAGEMENT, LLC",13F-HR,1451643,2016-02-16,https://www.sec.gov/Archives/edgar/data/1451643/0000919574-16-010660-index.htm
248950,Sotherly Hotels Inc.,10-K,1301236,2016-03-25,https://www.sec.gov/Archives/edgar/data/1301236/0001564590-16-015264-index.htm
251714,APPFOLIO INC,10-Q,1433195,2016-05-09,https://www.sec.gov/Archives/edgar/data/1433195/0001433195-16-000035-index.htm
